model,sentence_id,sentence,token_count,avg_chars_per_token,unicode_frag_rate,subword_frag_rate,unk_rate,vocab_coverage,memory_bytes
MADLAD-400,7,மருத்துவமனையில் நோயாளிகளுக்கு சிகிச்சை அளிக்கிறார்கள்.,16,3.4,0.0625,0.625,0.0,1.0,64
MADLAD-400,8,பொருளாதார வளர்ச்சி நாட்டின் முன்னேற்றத்திற்கு அவசியம்.,16,3.333,0.125,0.375,0.0,1.0,64
MADLAD-400,9,சுற்றுச்சூழல் பாதுகாப்பு அனைவரின் பொறுப்பு.,17,2.353,0.0588,0.6471,0.0,1.0,68
MADLAD-400,10,தகவல் தொழில்நுட்பத்தில் புதிய கண்டுபிடிப்புகள் வருகின்றன.,16,3.312,0.125,0.375,0.0,1.0,64
MADLAD-400,11,அவள் மிகவும் புத்திசாலியான மாணவி.,13,2.308,0.0,0.6923,0.0,1.0,52
MADLAD-400,12,நம் நாட்டின் பண்பாடு மிகவும் சிறந்தது.,11,3.4,0.0,0.1818,0.0,1.0,44
MADLAD-400,13,விவசாயிகள் கடினமாக உழைக்கிறார்கள்.,12,2.667,0.0,0.6667,0.0,1.0,48
MADLAD-400,14,குழந்தைகளுக்கு தரமான கல்வி வழங்க வேண்டும்.,9,4.222,0.0,0.3333,0.0,1.0,36
MADLAD-400,15,இயற்கை வளங்களை பாதுகாக்க வேண்டும்.,12,2.583,0.0833,0.6667,0.0,1.0,48
MADLAD-400,16,அணுசக்தி மின்சாரம் உற்பத்தி செய்கிறது.,15,2.333,0.0,0.6,0.0,1.0,60
MADLAD-400,17,நெடுஞ்சாலை வழியாக பயணம் செய்தோம்.,12,2.5,0.0833,0.5,0.0,1.0,48
MADLAD-400,18,கலைஞர்களின் படைப்புகள் சமூகத்தை உருவாக்குகின்றன.,14,3.214,0.0714,0.5714,0.0,1.0,56
MADLAD-400,19,திருவள்ளுவர் எழுதிய திருக்குறள் உலகப் புகழ் பெற்றது.,18,2.611,0.0556,0.5,0.0,1.0,72
MADLAD-400,20,அறிவியல் ஆராய்ச்சி மனித வாழ்வை மேம்படுத்துகிறது.,13,3.385,0.0,0.3846,0.0,1.0,52
