english,tamil_reference,indictrans2_translation,sentence_bleu
"Praise be to Allah, Lord of the Worlds,","அனைத்துப்புகழும், அகிலங்கள் எல்லாவற்றையும் படைத்து வளர்த்துப் பரிபக்குவப்படுத்தும் (நாயனான) அல்லாஹ்வுக்கே ஆகும்.",அகிலங்களின் இரட்சகராகிய அல்லாஹ்வுக்கே புகழனைத்தும்.,2.5648
And We made them tractable for them; so some of them make their mounts and some of them they eat.,"மேலும், அவற்றை அவர்களுக்குக் கீழ்படியுமாறு செய்துள்ளோம்; ஆகவே, அவற்றில் சிலவற்றின் மீது அவர்கள் ஏறிச்சவாரி செய்வதும் இருக்கிறது இன்னும் அவற்றிலிருந்து சிலவற்றைப் புசிக்கிறார்கள்.","மேலும், நாம் அவற்றை அவர்களுக்கு வசதியாக ஆக்கினோம், எனவே அவர்களில் சிலர் தங்கள் ஏற்றங்களை உருவாக்குகிறார்கள், மேலும் அவற்றில் சிலவற்றை அவர்கள் சாப்பிடுகிறார்கள்.",4.968
Split track in a fixed number of parts,தடத்தை ஒரு குறித்த எண்ணிக்கை பகுதிகளாக பிரி,பாதையை ஒரு குறிப்பிட்ட எண்ணிக்கையிலான பகுதிகளாக பிரிக்கவும்,9.6524
"And verily, for those who do wrong, there is a portion of torment like to the evil portion of torment (which came for) their likes (of old), so let them not ask Me to hasten on!","எனவே, அநியாயம் செய்து கொண்டிருப்போருக்கு, அவர்களுடைய தோழர்களுக்கு வேதனையிலிருந்து ஒரு பங்கு இருந்தது போல், ஒரு பங்கு நிச்சயமாக உண்டு ஆகவே, (தண்டனைக்காக) அவர்கள் என்னை அவசரப்படுத்த வேண்டாம்.","மேலும், நிச்சயமாக அக்கிரமக்காரர்களுக்கு வேதனையின் ஒரு பகுதி அவர்களுக்குப் பிடித்த (பழைய) வேதனையின் தீய பகுதியைப் போன்றே இருக்கிறது, எனவே அவர்கள் என்னை விரைந்து செல்லுமாறு கேட்க வேண்டாம்.",4.8721
Fileshare Konqueror Directory Properties Page,Fileshare Konqueror அடைவு பண்புகளின் பக்கம்Comment,கோப்புப் பகிர்வு கான்கொரர் அடைவு பண்புகள் பக்கம்,8.1167
None,ஏதுமில்லை,ஒன்றுமேயில்லை.,0.0
"As for the ship, it belonged to certain poor men, who toiled upon the sea; and I desired to damage it, for behind them there was a king who was seizing every ship by brutal force.","""அம்மரக்கலம் கடலில் வேலை செய்யும் ஏழைகள் சிலருக்குச் சொந்தமானது எனவே நான் அதை (ஓட்டையிட்டு)ப் பழுதாக்க விரும்பினேன்; (ஏனெனில்) அவர்களுக்குப் பின்னால் (கொடுங்கோலனான) ஓர் அரசன் இருந்தான்; அவன் (பழுதில்லா) மரக்கலங்களையெல்லாம் பலவந்தமாக எடுத்துக் கொள்கிறான்.","கப்பலைப் பொறுத்தவரை, அது கடலில் உழைத்த சில ஏழை மனிதர்களுக்கு சொந்தமானது, நான் அதை சேதப்படுத்த விரும்பினேன், ஏனென்றால் அவர்களுக்குப் பின்னால் ஒரு ராஜா இருந்தார், அவர் ஒவ்வொரு கப்பலையும் மிருகத்தனமான சக்தியால் கைப்பற்றினார்.",2.992
six of clubs,க்ளப்ஸின் ஆறு,ஆறு கிளப்புகள்,50.0
Distillation bridge,Alkali Metals:,வடிகட்டுதல் பாலம்,0.0
document text,ஆவண உரை,ஆவண உரை,100.0
& Tools,NAME OF TRANSLATORS,கருவிகள் &,0.0
Lomnicky stit,"லாம்னிகி ஸ்டிட்City name (optional, probably does not need a translation)",லோம்னிக்கி ஸ்டிட்,0.0
- He's hurt pretty bad.,- அவர் மோசமாக காயம்.,அவர் மிகவும் மோசமாக காயமுற்றுள்ளார்.,12.7033
This business is killing him.,இந்த வணிக அவரை கொலை.,இந்த வணிகம் அவரைக் கொல்கிறது.,12.7033
It wouldn't be improper for me to forward Ellen some money.,இது எனக்கு எல்லன் பணம் அனுப்ப வேண்டும் முறையற்ற முடியாது.,எலனுக்கு கொஞ்சம் பணம் அனுப்புவது எனக்கு முறையல்ல.,6.495
& Keyboard Layouts,& விசைப்பலகை உருவரைகள்,& விசைப்பலகை அமைவுகள்,55.0321
- You know what?,- உனக்கு என்ன தெரியும்?,- என்ன தெரியும்?,49.7609
"Okay, let's get one thing straight.","சரி, நம்ம ஒன்னு செய்யலாம்.","சரி, ஒரு விஷயத்தை நேராக்குவோம்.",17.9652
Brazil,பிரேசில்,பிரேசில்,100.0
When it does not behove the Merciful to have a son.,ஒரு குமாரனை எடுத்துக் கொள்வது அல்லாஹ்வுக்குத் தேவையில்லாதது.,ஒரு மகனைப் பெறுவது இரக்கமுள்ளவருக்குத் தகுதியற்றதாக இருக்கும்போது.,7.8098
That won't even get us one night's hotel room down there.,என்று கூட கீழே ஒரு இரவு விடுதியில் பெற முடியாது.,அது எங்களுக்கு ஒரு இரவு ஹோட்டல் அறையைக் கூட கீழே கொண்டு வராது.,11.2085
"Surely those who disbelieve spend their wealth to hinder (people) from the way of Allah; so they shall spend it, then it shall be to them an intense regret, then they shall be overcome; and those who disbelieve shall be driven together to hell.","நிச்சயமாக நிராகரிப்பவர்கள், அல்லாஹ்வின் பாதையை விட்டும் தடுப்பதற்காக தங்கள் செல்வங்களை செலவு செய்கின்றனர்; (இவ்வாறே அவர்கள் தொடர்ந்து) அவற்றை செலவு செய்து கொண்டிருப்பார்கள் - முடிவில் (அது) அவர்களுக்கே துக்கமாக அமைந்துவிடும்; பின்னர் அவர்கள் வெற்றி கொள்ளப்படுவார்கள்; (இறுதியில்) நிராகரிப்பவர்கள் நரகத்தில் ஒன்று சேர்க்கப்படுவார்கள்.","நிச்சயமாக நிராகரிப்பவர்கள் தங்கள் செல்வங்களை அல்லாஹ்வின் பாதையிலிருந்து (மக்களை) தடுக்க செலவிடுகிறார்கள், எனவே அவர்கள் அதைச் செலவு செய்வார்கள், பின்னர் அது அவர்களுக்கு கடுமையான வருத்தமாக இருக்கும், பின்னர் அவர்கள் முறியடிக்கப்படுவார்கள், மேலும் நிராகரிப்பாளர்கள் நரகத்திற்குத் தள்ளப்படுவார்கள்.",3.5765
- What does she do in this video?,- அவர் இந்த வீடியோ என்ன செய்கிறார்? அவள் செல்கிறாள்-,- இந்த வீடியோவில் அவள் என்ன செய்கிறாள்?,7.3798
Do not stop if an error occurs.,& கேட்பொலி கோப்புகளை வைத்திரு:,ஒரு பிழை ஏற்பட்டால் நிறுத்த வேண்டாம்.,0.0
Copying audio track,ஒலி தடத்தை நகலெடுக்கிறது,ஆடியோ டிராக்கை நகலெடுக்கிறது,27.5161
Should Nautilus extension output debug statements,நாடுலஸ் நீட்சி வழு நீக்க அறிக்கைகளை வெளியிட வேண்டுமா,நோடிலஸ் நீட்டிப்பு வெளியீட்டு பிழைத்திருத்த அறிக்கைகள் இருக்க வேண்டுமா,6.5673
"No, you make a decision right now, Tony.","இல்லை, இப்போவே ஒரு முடிவெடுக்கணும், டோனி.","இல்லை, நீங்கள் இப்போது ஒரு முடிவை எடுக்கிறீர்கள், டோனி.",20.5567
Yeah.,ஆமாம்.,ஆம்.,50.0
Yes.,ஆமாம்.,ஆம்.,50.0
Should Nautilus extension output debug statements,நாடுலஸ் நீட்சி வழு நீக்க அறிக்கைகளை வெளியிட வேண்டுமா,நோடிலஸ் நீட்டிப்பு வெளியீட்டு பிழைத்திருத்த அறிக்கைகள் இருக்க வேண்டுமா,6.5673
- Yeah.,- ஆமாம்.,- ஆமாம்.,100.0
"He said: Ye have chosen only idols instead of Allah. The love between you is only in the life of the world. Then on the Day of Resurrection ye will deny each other and curse each other, and your abode will be the Fire, and ye will have no helpers.","மேலும் (இப்றாஹீம்) சொன்னார்; ""உலக வாழ்ககையில் அல்லாஹ்வையன்றி (சிலரை) வணக்கத்திற்குரியவர்களாக நீங்கள் ஆக்கிக் கொண்டது (அவர்கள் மீது) உங்களிடையேயுள்ள நேசத்தின் காரணத்தினால்தான்; பின்னர் கியாம நாளன்று உங்களில் சிலர் சிலரை நிராகரிப்பார்கள்; உங்களில் சிலர் சிலரை சபித்துக் கொள்வர்; (இறுதியில்), நீங்கள் ஒதுங்குந்தலம் (நரக) நெருப்புத்தான்; (அங்கு) உங்களுக்கு உதவியாளர் எவருமில்லை.'","""அவர் கூறினார்ஃ"" ""அல்லாஹ்வுக்கு பதிலாக நீங்கள் சிலரைத் தேர்ந்தெடுத்துள்ளீர்கள். இவ்வுலக வாழ்வில் மட்டுமே உங்களுக்கிடையே அன்பு இருக்கிறது. பின்னர் மறுமை நாளில் நீங்கள் ஒருவரையொருவர் நிராகரிப்பீர்கள், ஒருவரை ஒருவர் சபித்துக் கொள்வீர்கள். மேலும் நரகமே உங்கள் இருப்பிடமாக இருக்கும். உங்களுக்கு உதவி செய்பவர்கள் யாரும் இருக்க மாட்டார்கள்"". """"",1.0605
AT-SPI Registry,AT-SPI பதிவேடு,ஏ. டி-எஸ். பி. ஐ பதிவேடு,5.5224
Orientation,முன்வைப்பு,திசைதிருப்பல்,0.0
Pursue second mark.,இரண்டாவது குறி தொடர.,இரண்டாவது மார்க்கைப் பின்தொடரவும்.,18.9959
"and the Mount, Sinai,",'ஸினாய்' மலையின் மீதும் சத்தியமாக-,"மற்றும் மலை, சினாய்,",0.0
"And why should you not eat of that (meat) on which Allah's Name has been pronounced (at the time of slaughtering the animal), while He has explained to you in detail what is forbidden to you, except under compulsion of necessity? And surely many do lead (mankind) astray by their own desires through lack of knowledge. Certainly your Lord knows best the transgressors.","அல்லாஹ்வின் பெயர் கூறி (உங்களுக்கு அனுமதிக்கப்பட்டவற்றில்) அறுக்கப்பட்டதை நீங்கள் சாப்பிடாமலிருக்க என்ன (தடை) இருக்கிறது? நீங்கள் நிர்ப்பந்திக்கப்பட்டாலன்றி சாப்பிட உங்களுக்கு விலக்கப்பட்டவை எவை என்பதை அல்லாஹ் விவரித்துக் கூறியுள்ளான் - ஆனால் பெரும்பாலோர், அறியாமையின் காரணமாகத் தங்களுடைய மன இச்சைகளின் பிரகாரம் (மனிதர்களை) வழி கெடுக்கிறார்கள்; வரம்பு மீறிச்செல்பவர்களை நிச்சயமாக உம் இறைவன் நன்கு அறிகிறான்.","அல்லாஹ்வின் பெயர் உச்சரிக்கப்பட்டவற்றில் (இறைச்சியை) நீங்கள் ஏன் சாப்பிடக் கூடாது? மேலும், உங்களுக்குத் தடைசெய்யப்பட்டதை அவர் உங்களுக்கு விரிவாக விளக்கியிருக்கிறார். ஆனால் கட்டாயப்படுத்தப்பட்ட நிலையில்தானே? இன்னும் பலர் தங்கள் விருப்பங்களினால் (மனிதர்களை) அறியாமையினால் வழிதவறி விடுகிறார்கள். நிச்சயமாக உம்முடைய இறைவன் வரம்பு மீறியவர்களை நன்கு அறிந்தவன்.",4.603
Accessible Table Row Description,அணுகக்கூடிய அட்டவணை நிரை விளக்கம்,அணுகக்கூடிய அட்டவணை வரிசை விளக்கம்,35.3553
You might have enjoyed it.,நீங்கள் அதை அனுபவித்து.,அதை நீங்கள் ரசித்திருக்கலாம்.,21.0224
That-a-boy.,என்று ஒரு சிறுவன்.,அந்த-ஒரு-பையன்.,18.394
KLatin,கேலத்தின்GenericName,கே. எல். ஏ. டின்,0.0
Kalzium,அடர்த்தி:,கல்ஜியம்,0.0
& Browse...,பணிகள்/ மாறிகள்,& உலாவவும்...,0.0
Please add songs to the project.,தயவு செய்து திட்டத்துக்கு பாடல்களை சேர்க்கவும்.,தயவுசெய்து திட்டத்திற்கு பாடல்களைச் சேர்க்கவும்.,17.4917
Buffer Fill,பஃபரை நிரப்பு,இடையக நிரப்பு,50.0
He's been thinking about it for 20 years.,அவர் நினைத்து 20 ஆண்டுகளில் இது பற்றி.,அவர் 20 ஆண்டுகளாக இதைப் பற்றி யோசித்து வருகிறார்.,7.8098
Thanks for finding me a home.,என்னை ஒரு வீட்டில் கண்டுபிடித்து நன்றி.,எனக்கு ஒரு வீட்டைக் கண்டுபிடித்ததற்கு நன்றி.,17.9652
Is much more than what was written.,Is much more than what was written.,எழுதப்பட்டதை விட இது அதிகம்.,5.8625
"The duration of the stream, in seconds","ஸ்ட்ரெம்மின் கால அளவு, விநாடிகளில்","நீரோட்டத்தின் காலம், வினாடிகளில்",12.4402
Y coordinate of the anchor point,ஆங்கர் புள்ளிக்கான Y ஒருங்கமைப்பு,நங்கூர புள்ளியின் Y ஒருங்கிணைப்பு,15.9736
Move ~a onto the six of spades.,ஸ்பேடின் ஆறு மீது ~a ஐ நகர்த்து,ஆறு ஈட்டிகள் மீது ~ a ஐ நகர்த்தவும்.,36.5555
Size,அளவு,அளவு.,50.0
Your emails,jvijay_ loyola@ hotmail. com,உங்கள் மின்னஞ்சல்கள்,0.0
..it's nearly twenty thousand years old.,.. அது கிட்டத்தட்ட இருபது ஆயிரம் ஆண்டுகள் பழமையான .,.. இது கிட்டத்தட்ட இருபதாயிரம் ஆண்டுகள் பழமையானது.,12.2562
Saeed Ali Hariri is being treated at his own residence.,சயித் ஹரிரி இருப்பது தனது சொந்த இல்லத்தில் சிகிச்சை.,சயீத் அலி ஹரிரி தனது சொந்த இல்லத்தில் சிகிச்சை பெற்று வருகிறார்.,10.5527
Your emails,உங்கள் மின்அஞ்சல்கள்.,உங்கள் மின்னஞ்சல்கள்,30.3265
Electric,மின்Stencils,மின்சார,0.0
ZARTAN:,ZARTAN:,ஜார்டன்ஃ,0.0
My arm ain't worth a damn.,என் கையில் எதுவும் தகுதியானவன் அல்ல.,என் கைக்கு எந்த மதிப்பும் இல்லை.,9.6524
Burn as _File,(_F) கோப்பாக எழுது,கோப்பாக எரிக்கவும் (_ C),19.3049
Plain,வரிசைRaised (HINT: for Frame Shadow),சமவெளி.,0.0
Audacity,அடாசிடிGenericName,துணிச்சல்.,0.0
Kerala,நெதர்லாண்ட்ஸ்india. kgm,கேரளா,0.0
Your names,EMAIL OF TRANSLATORS,உங்கள் பெயர்கள்.,0.0
You're embarrassed about your friends? Huh?,நீங்கள் உங்கள் நண்பர்களை பற்றி தர்மசங்கடத்தில்?,உங்கள் நண்பர்களைப் பற்றி நீங்கள் வெட்கப்படுகிறீர்களா?,11.4787
Yeah.,ஆமாம்.,ஆம்.,50.0
Or He could wreck them for what they have done; yet there is much that He pardons.,அல்லது அவர்கள் சம்பாதித்த காரணத்தினால் அவற்றை அவன் மூழ்கடிக்கச் செய்து விடுவான்; மேலும் அவன் பெரும்பாலானவற்றை மன்னித்தருளுகிறான்.,"அல்லது அவர்கள் செய்ததற்காக அவர்களை அவர் அழித்துவிடலாம், எனினும் அவர் மன்னிக்க வேண்டியவை ஏராளம் உள்ளன.",5.8523
Time,நேரம்%Id%d,நேரம்.,11.1565
File,கோப்பு,கோப்பு,100.0
Cursor Color,கர்சர் வண்ணம்,கர்சர் நிறம்,50.0
Thanks.,நன்றி.,நன்றி.,100.0
Real Name:,வரிசை எண்,உண்மையான பெயர்ஃ,0.0
Concentric boxes with openings pointing in opposite directions,Name,எதிர் திசைகளில் சுட்டிக்காட்டும் திறப்புகளுடன் மையப்படுத்தப்பட்ட பெட்டிகள்,0.0
"The hypocrites fear for a chapter being revealed regarding them, which may disclose what is hidden in their hearts; say, “Keep mocking; Allah will certainly disclose what you fear.”","முனாஃபிக்குகள் (நயவஞ்சகர்கள்) தம் உள்ளங்களில் மறைத்து வைத்திருப்பவற்றை அவர்களுக்கு உணர்த்திவிடக்கூடிய ஓர் அத்தியாயம் இறக்கி வைக்கப்படுமோ என அஞ்சுகிறார்கள் - (நபியே!) நீர் கூறும்; "" நீங்கள் பரிகாசம் செய்து கொண்டே இருங்கள். நீங்கள் அஞ்சிக் கொண்டிருப்பதை நிச்சயமாக அல்லாஹ் வெளிப்படுத்துபவனாகவே இருக்கின்றான்.""","நயவஞ்சகர்கள் தங்களைப் பற்றி ஒரு அத்தியாயம் வெளிப்படுத்தப்படலாம் என்று அஞ்சுகிறார்கள், அது அவர்களின் இதயங்களில் மறைந்திருப்பதை வெளிப்படுத்தக்கூடும், ""கேலி செய்யுங்கள், நீங்கள் பயப்படுவதை அல்லாஹ் வெளிப்படுத்துவார்"" என்று சொல்லுங்கள்.",1.4421
Dot size,எறும்பு அளவு,புள்ளி அளவு,50.0
Maximum number of samples lower than minimum number.,குறைவான எண்ணிக்கையை காட்டிலும் அதிகமானது அதிகபட்ச எண்ணிக்கை,அதிகபட்ச மாதிரிகளின் எண்ணிக்கை குறைந்தபட்ச எண்ணிக்கையை விட குறைவாக உள்ளது.,6.2747
Virtual desktop fourteen is selected,மெய்நிகர் மேல்மேசை பதினான்கு தேர்ந்தெடுக்கப்பட்டதுName,மெய்நிகர் டெஸ்க்டாப் பதினான்கு தேர்ந்தெடுக்கப்பட்டது,18.9959
Simulation of CD copying,ப்ராஸரோ - சிடி பாவனையாக நகலெடுத்தல்,குறுவட்டு நகலெடுப்பின் உருவகப்படுத்துதல்,0.0
Accessible Table Row Description,அணுகக்கூடிய அட்டவணை நிரை விளக்கம்,அணுகக்கூடிய அட்டவணை வரிசை விளக்கம்,35.3553
An agent for debugging purpose,Name,பிழைத்திருத்த நோக்கத்திற்காக ஒரு முகவர்,0.0
The axis to align the position to,இடத்திற்கு அச்சினை ஒதுக்குகிறது,நிலையை சீரமைக்க அச்சு,0.0
So what are you going to do... to do?,அதனால் நீங்கள் என்ன செய்ய போகிறீர்கள் ... செய்ய வேண்டும்?,எனவே நீங்கள் என்ன செய்யப் போகிறீர்கள்... செய்ய?,29.3772
"Each messenger said, ""What if I should bring you better guidance than what you found your forefathers had?"" They replied, ""We reject any message you have been sent with!""","(அப்பொழுது அத்தூதர்,) ""உங்கள் மூதாதையரை எதன்மீது நீங்கள் கண்டீர்களோ, அதை விட மேலான நேர்வழியை நான் உங்களுக்குக் கொண்டு வந்திருந்த போதிலுமா?"" என்று கேட்டார். அதற்கு அவர்கள்; ""நிச்சயமாக நாங்கள், எதைக்கொண்டு நீங்கள் அனுப்பப்பட்டிருக்கிறீர்களோ, அதை நிராகரிக்கிறோம்"" என்று சொன்hர்கள்.","ஒவ்வொரு தூதரும், ""உங்கள் மூதாதையர்களுக்கு இருந்ததை விட நான் உங்களுக்கு சிறந்த வழிகாட்டுதலைக் கொண்டுவந்தால் என்னவாகும்?"" என்று கேட்டனர். அதற்கு அவர்கள், ""நீங்கள் அனுப்பப்பட்ட எந்தச் செய்தியையும் நாங்கள் நிராகரிக்கிறோம்"" என்று பதிலளித்தனர்.",7.5634
Yeah.,ஆமாம்.,ஆம்.,50.0
"My son, be steadfast in prayer. Make others do good. Prevent them from doing evil. Be patient in hardship. Patience comes from faith and determination.","""என் அருமை மகனே! நீ தொழுகையை நிலை நாட்டுவாயாக நன்மையை ஏவி, தீமையை விட்டும் (மனிதர்களை) விலக்குவாயாக உனக்கு ஏற்படும் கஷ்டங்களைப் பொறுத்துக் கொள்வாயாக் நிச்சயமாக இதுவே வீரமுள்ள செயல்களில் உள்ளதாகும்","என் மகனே, ஜெபத்தில் பிடிவாதமாக இரு. மற்றவர்களுக்கு நன்மை செய்யுங்கள். அவர்கள் தீமை செய்வதைத் தடுக்கவும். கஷ்டத்தில் பொறுமையாக இருங்கள். பொறுமை என்பது விசுவாசத்திலிருந்தும் உறுதிப்பாட்டிலிருந்தும் வருகிறது.",1.7604
The drive is busy,இயக்கி வேலையில் உள்ளது,டிரைவ் பிஸியாக உள்ளது,27.5161
"Great plan, Thomas. ""Just hear what the man has to say. ""","கிரேட் திட்டம், தாமஸ். ""ஜஸ்ட் மனிதன் என்ன சொல்ல வேண்டும் என்று கேட்க.""","நல்ல திட்டம், தாமஸ். ""அந்த மனிதர் என்ன சொல்கிறார் என்பதைக் கேளுங்கள்"".",27.8383
Assuredly in Yusuf and his brethren there have been signs for the inquirers.,நிச்சயமாக யுஸுஃபிடத்திலும் அவர்களுடைய சகோதரர்களிடத்திலும் (அவர்களைப் பற்றி) விசாரிப்பவர்களுக்கு பல படிப்பினைகள் இருக்கின்றன.,யூஸுஃபிலும் அவரது சகோதரர்களிலும் சந்தேகத்திற்கு இடமின்றி விசாரணை செய்பவர்களுக்கு சான்றுகள் உள்ளன.,3.1086
Keep the aspect ratio of the texture when requesting the preferred width or height,விருப்பமான அகலம் அல்லது உயரத்துடன் கோரும் போது அமைப்பின் தோற்ற விகிதத்தை வைத்திருக்கவும்,விருப்பமான அகலம் அல்லது உயரத்தைக் கோரும் போது கட்டமைப்பின் தோற்ற விகிதத்தை வைத்திருங்கள்,22.9575
The profile was changed,The profile was changedName,சுயவிவரம் மாற்றப்பட்டது,0.0
Allow DAO use,டிஏஓ பயன்பாட்டை அனுமதி,டி. ஏ. ஓ-வை பயன்படுத்த அனுமதிக்கவும்,0.0
Open the specified project,குறிப்பிட்ட திட்டத்தை திற,குறிப்பிட்ட திட்டத்தை திறக்கவும்,55.0321
"Good afternoon, ladies and gentlemen, and welcome to Delancy's.","வணக்கம், பெண்கள் மற்றும் தாய்மார்களே, மற்றும் Delancy இன் வரவேற்கிறேன்.","இனிய மாலை வணக்கம், பெண்களே மற்றும் பெரியவர்களே, டெலன்சிக்கு வரவேற்கிறோம்.",9.4252
Thank God.,கடவுளுக்கு நன்றி.,கடவுளுக்கு நன்றி.,100.0
Release,விடுவி,வெளியீடு,0.0
By Size,அனுப்புநர்/ பெறுநர்,அளவு அடிப்படையில்,0.0
"""And do not disgrace me. Have some fear of God.""","""அல்லாஹ்வுக்கு அஞ்சுங்கள். என்னைக் கேவலப்படுத்தி விடாதீர்கள்"" என்றும் கூறினார்.","""மேலும், என்னை இழிவுபடுத்தாதீர்கள். கடவுளுக்கு அஞ்சுங்கள்"".",5.6775
Specify file containing saved configuration,சேமித்த வடிவமைப்பு உள்ள கோப்பை குறிப்பிடுக,சேமிக்கப்பட்ட உள்ளமைவைக் கொண்ட கோப்பைக் குறிப்பிடவும்,0.0
Type,வகை,வகை,100.0
One of soundness. And he rose to [his] true form,"(அவர்) மிக்க உறுதியானவர், பின்னர் அவர் (தம் இயற்கை உருவில்) நம் தூதர் முன் தோன்றினார்.",சகிப்புத்தன்மையில் ஒருவர். அவர் [தனது] உண்மையான வடிவத்திற்கு உயர்ந்தார்.,2.3586
Yeah.,உள்ளது.,ஆம்.,50.0
"Certainly We favoured Moses and Aaron,","மேலும், மூஸா, ஹாரூன் ஆகியவர்கள் மீதும் நாம் நிச்சயமாக அருள் புரிந்தோம்.","நிச்சயமாக நாம் மூஸாவுக்கும், ஹாரூனுக்கும் நன்மை செய்தோம்.",4.7369
General,பொது,ஜெனரல்,0.0
- Yes.,- ஆம்.,- ஆமாம்.,34.6681
Properties,தேர்ந்தெடுக்கபட்ட கோப்புகள்,பண்புகள்,0.0
WEAVING GIRL,Constellation name (optional),அணிந்திருக்கும் பெண்,0.0
Home Address,இல்ல முகவரி,வீட்டு முகவரி,50.0
X,X,எக்ஸ்.,0.0
Lara..,லாரா ..,லாரா..,100.0
Template name or match name to look for,பார்கக வேண்டிய வார்ப்புரு பெயர் அல்லது பொருத்து பெயர்.,தேட வேண்டிய டெம்ப்ளேட் பெயர் அல்லது பொருளின் பெயர்,13.5404
Recording audio tracks on a rewritable disc is not advised.,ஒலி தடங்களை மீண்டும் எழுதக்கூடிய வட்டுகளில் பதிப்பது உசிதமல்ல.,மீண்டும் எழுதக்கூடிய வட்டில் ஆடியோ டிராக்குகளைப் பதிவு செய்வது அறிவுறுத்தப்படுவதில்லை.,10.5527
Address Book Association,புதிய முகவரி புத்தக உள்ளீடு,முகவரி புத்தக சங்கம்,39.4322
